,instr,course,term,evals,rcmnd_class,rcmnd_instr,time,class_weighted_evals,instr_weighted_evals,letter_expected,gpa_expected,letter_actual,gpa_actual
35,"Boyle, Mary E. T.",COGS 107A,S118,24,0.917,0.917,8.92,22,22,B+ ,3.33,B+ ,3.38
36,"Bardolph, Megan Dalene",COGS 109,S118,27,0.815,0.9620000000000001,5.65,22,26,A- ,3.73,B+ ,3.67
37,"Barrera, Steven James",COGS 14A,S118,41,0.975,1.0,5.28,40,41,B+ ,3.35,B ,3.23
38,"Yang, Dorothy Daw-Shin",COGS 154,S118,37,0.973,0.946,6.01,36,35,B+ ,3.39,B ,3.07
39,"Johnson, Christine M.",COGS 17,S118,22,0.8640000000000001,0.955,7.86,19,21,B ,3.16,B- ,2.71
40,"Guarrasi, Ivana",COMM 100A,S118,16,0.938,0.938,7.25,15,15,A- ,3.75,B+ ,3.63
41,"Walton, Jonathan Douglas",COMM 105G,S118,10,1.0,1.0,5.1,10,10,A- ,3.8,B+ ,3.68
42,"McKenna, Denise",COMM 107,S118,10,0.7,0.778,5.9,7,8,B+ ,3.4,B+ ,3.5
43,"Whitworth-Smith, Andrew C",COMM 109D,S118,34,1.0,1.0,4.79,34,34,B+ ,3.45,B+ ,3.31
44,"Cortes, Diego M",COMM 140,S118,5,0.75,0.75,3.5,4,4,A- ,3.75,A- ,3.79
45,"Anderson, Patrick W.",COMM 190,S118,7,1.0,1.0,7.36,7,7,A ,4.0,A- ,3.71
46,"Powell, Thomas Allan",CSE 134B,S118,19,0.941,0.941,12.38,18,18,B ,3.24,B ,3.18
47,"Eldon, John",CSE 140,S118,16,0.688,0.813,8.38,11,13,B ,3.0,B ,3.18
48,"Kumar, Rakesh",CSE 190,S118,12,1.0,1.0,9.83,12,12,A- ,3.75,B+ ,3.43
49,"Abi Samra, Nicholas Camill",ECE 180,S118,12,1.0,1.0,5.41,12,12,A- ,3.92,A- ,3.86
50,"Shevchenko, Valentin I",ECE 45,S118,10,1.0,1.0,9.1,10,10,B+ ,3.4,B+ ,3.3
51,"Taur, Yuan",ECE 65,S118,5,1.0,0.8,6.5,5,4,A ,4.0,B- ,2.79
52,"Hovander, Elisa Wynne Kirsten",ECON 1,S118,11,0.636,0.636,4.68,7,7,B ,3.0,C+ ,2.53
53,"Famulari, Melissa",ECON 100A,S118,29,0.857,0.963,8.36,25,28,B ,3.07,C+ ,2.67
54,"Sinitsyn, Maxim",ECON 100B,S118,5,1.0,1.0,5.3,5,5,B+ ,3.6,C+ ,2.59
55,"Sinitsyn, Maxim",ECON 100C,S118,15,1.0,1.0,7.7,15,15,B+ ,3.6,B- ,2.71
56,"Noel, Michael",ECON 105,S118,22,0.909,0.909,8.41,20,20,B ,3.19,B- ,2.85
57,"Newhouse, Herbert S",ECON 109,S118,16,0.857,0.929,5.93,14,15,B+ ,3.64,B- ,2.74
58,"Levkoff, Steven B.",ECON 110A,S118,22,0.8420000000000001,0.9440000000000001,7.24,19,21,B ,3.28,B- ,2.78
59,"Hilmer, Christiana",ECON 120A,S118,35,0.941,1.0,6.21,33,35,B+ ,3.45,B- ,2.86
60,"O, Mun Pyung",ECON 120B,S118,10,1.0,1.0,9.3,10,10,B+ ,3.5,B- ,2.9
61,"O, Mun Pyung",ECON 120C,S118,17,0.8240000000000001,0.8240000000000001,8.38,14,14,B+ ,3.47,B- ,2.94
62,"Nieto-Barthaburu, Augusto",ECON 131,S118,29,0.9259999999999999,0.885,6.13,27,26,B+ ,3.37,B- ,2.75
63,"Hilmer, Christiana",ECON 132,S118,22,0.955,0.9520000000000001,6.05,21,21,B+ ,3.43,B- ,2.83
64,"Levkoff, Steven B.",ECON 2,S118,23,1.0,1.0,6.07,23,23,B+ ,3.53,B- ,2.93
65,"Hovander, Elisa Wynne Kirsten",ECON 3,S118,6,1.0,1.0,4.5,6,6,B+ ,3.67,B- ,2.73
66,"Lu, Runjing",ECON 4,S118,31,0.935,0.935,4.83,29,29,B+ ,3.43,B ,3.02
67,"Drake, Kristy Nicole",EDS 137,S118,25,1.0,1.0,6.1,25,25,B+ ,3.68,A- ,3.77
68,"Evans, Ivan T",ERC 190GS,S118,5,1.0,1.0,1.5,5,5,A ,4.0,A ,4.0
69,"Celleri, Maria",ETHN 127,S118,6,0.833,1.0,4.5,5,6,B+ ,3.5,B+ ,3.65
70,"Padilla, Omar",ETHN 182,S118,26,1.0,1.0,4.42,26,26,A- ,3.76,A- ,3.97
71,"Gallant, Thomas W.",HIEU 117GS,S118,6,0.833,1.0,5.0,5,6,A ,4.0,A ,4.0
72,"Parrish, Michael E.",HIEU 121GS,S118,11,1.0,1.0,8.7,11,11,B+ ,3.6,B+ ,3.4
73,"Hall, Matthew Aaron",HIEU 143,S118,9,0.889,1.0,6.5,8,9,B+ ,3.33,B+ ,3.55
74,"Mack, Graeme",HILD 2A,S118,22,1.0,1.0,4.23,22,22,B+ ,3.5,A- ,3.7
75,"Hineline, Mark Lawrence",HISC 105,S118,13,1.0,1.0,3.33,13,13,A- ,3.89,B+ ,3.45
76,"Molina, Natalia",HIUS 126,S118,18,0.882,0.882,8.15,16,16,B+ ,3.53,A- ,3.76
77,"Patterson, Patrick H.",HUM 3,S118,36,0.889,0.9440000000000001,8.72,32,34,B ,3.17,B ,3.24
78,"Herbst, Matthew",HUM 3GS,S118,23,1.0,1.0,8.41,23,23,B+ ,3.68,B+ ,3.6
79,"Caldwell, Michael Alan",HUM 4,S118,12,0.75,0.917,8.0,9,11,B- ,2.92,B- ,2.87
80,"Parrish, Michael E.",HUM 4GS,S118,11,1.0,1.0,10.7,11,11,B+ ,3.3,B+ ,3.32
81,"Henderson, David Kenneth",HUM 5,S118,13,0.636,0.75,5.95,8,10,B- ,2.82,B ,3.08
82,"Aguilar, Andres Ehecatl",LIGN 8,S118,19,1.0,1.0,3.83,19,19,A- ,3.82,B+ ,3.69
83,"Zavodny, Tatiana Sophia",LTWL 110B,S118,12,0.917,0.917,3.59,11,11,A- ,3.83,A- ,3.79
84,"Rahimi, Babak",LTWL 172GS,S118,12,1.0,1.0,5.5,12,12,A- ,3.92,A- ,3.98
85,"Herbst, Matthew",LTWL 175GS,S118,21,1.0,1.0,5.64,21,21,A- ,3.71,A- ,3.8
86,"Bahadori, Mohammad Yousef",MAE 101A,S118,8,0.5710000000000001,0.857,11.64,5,7,B- ,2.86,B- ,2.82
87,"Bandaru, Prabhakar",MAE 105,S118,10,0.8,0.9,10.7,8,9,B+ ,3.5,B ,3.21
88,"Ezunkpe, Yawo Semanu",MAE 107,S118,19,0.789,0.8420000000000001,9.13,15,16,B ,3.21,B ,3.26
89,"Bahadori, Mohammad Yousef",MAE 11,S118,12,0.75,0.75,11.83,9,9,B- ,2.75,B- ,2.77
90,"Lubarda, Marko",MAE 130A,S118,12,1.0,1.0,5.95,12,12,B+ ,3.45,B ,3.03
91,"Eliasson, Veronica",MAE 130B,S118,49,0.9390000000000001,1.0,12.21,46,49,B ,3.1,B- ,2.82
92,"Lubarda, Marko",MAE 8,S118,12,1.0,1.0,7.59,12,12,A- ,3.7,B+ ,3.43
93,"Carter, Anne Toulson",MATH 103A,S118,22,0.9470000000000001,0.833,11.97,21,18,B+ ,3.37,C+ ,2.66
94,"Chow, Bennett",MATH 109,S118,30,0.667,0.5710000000000001,10.1,20,17,B- ,2.86,B- ,2.8
95,"Ceccherini-Silberstein, Tullio",MATH 10A,S118,26,0.96,0.958,7.38,25,25,C+ ,2.7,B- ,2.72
96,"Rotar, Vladimir",MATH 10B,S118,38,0.789,0.711,6.76,30,27,B- ,2.79,B ,3.14
97,"Behzadan, Ali",MATH 110A,S118,53,1.0,1.0,7.56,53,53,A- ,3.75,B+ ,3.45
98,"Verstraete, Jacques Allan",MATH 142A,S118,41,0.902,0.975,8.74,37,40,B+ ,3.56,B ,3.25
99,"Stevens, Laura Jeanne",MATH 18,S118,48,0.935,0.9570000000000001,8.85,45,46,B+ ,3.58,B- ,2.83
100,"Rotar, Vladimir",MATH 193A,S118,86,0.941,0.929,8.15,81,80,B+ ,3.44,B ,3.29
101,"Ceccherini-Silberstein, Tullio",MATH 20A,S118,20,0.8420000000000001,0.706,7.9,17,14,C+ ,2.44,C+ ,2.44
102,"Mohanty, Sara",MATH 20B,S118,22,0.762,0.81,7.93,17,18,B ,3.0,D+ ,1.6
103,"Chow, Bennett",MATH 20C,S118,24,0.87,0.636,9.02,21,15,B+ ,3.43,B- ,2.95
104,"Mohanty, Sara",MATH 20D,S118,19,0.882,0.765,8.72,17,15,B+ ,3.5,C+ ,2.65
105,"Strahl, Perry Robert",MATH 20E,S118,73,0.8220000000000001,0.875,7.21,60,64,B ,3.27,C+ ,2.61
106,"Mirzaei, Mozhgan",MATH 4C,S118,13,1.0,1.0,5.42,13,13,B+ ,3.46,B+ ,3.7
107,"Eberhard, Craig A",MGT 103,S118,47,1.0,1.0,4.46,47,47,B+ ,3.6,B ,3.13
108,"Houskeeper, Robert",MGT 131A,S118,16,0.938,0.867,6.38,15,14,B+ ,3.56,C+ ,2.68
109,"Anderson, John Charles",MGT 132,S118,23,0.9570000000000001,1.0,7.11,22,23,B ,3.26,B ,3.18
110,"McKay, Michael J",MGT 16,S118,36,0.857,0.853,4.44,31,31,B+ ,3.41,B ,3.14
111,"McKay, Mary A",MGT 164,S118,44,0.8859999999999999,0.841,8.0,39,37,B ,3.18,B- ,2.8
112,"Hedges, Kathleen",MGT 172,S118,64,0.9690000000000001,1.0,5.59,62,64,B+ ,3.55,B+ ,3.44
113,"McKay, Mary A",MGT 18,S118,47,0.894,0.851,5.59,42,40,B+ ,3.37,B- ,2.93
114,"Houskeeper, Robert",MGT 5,S118,15,0.7859999999999999,0.5710000000000001,5.79,12,9,B+ ,3.31,B ,3.17
115,"Patterson, Patrick H.",MMW 121,S118,44,0.8640000000000001,0.977,9.45,38,43,B ,3.25,B ,3.24
116,"Palhegyi, Joel David",MMW 14,S118,85,0.58,0.855,7.95,49,73,B+ ,3.35,B ,3.23
117,"Gallant, Thomas W.",MMW 14GS,S118,7,0.857,1.0,4.9,6,7,A ,4.0,A ,4.0
118,"Evans, Ivan T",MMW 15GS,S118,6,1.0,1.0,1.83,6,6,B+ ,3.67,A- ,3.75
119,"Rahimi, Babak",MMW 15GS,S118,15,1.0,1.0,5.57,15,15,A- ,3.87,A- ,3.95
120,"Rubio, Juan David",MUS 11,S118,14,1.0,1.0,5.21,14,14,B+ ,3.42,B ,3.26
121,"Garcia-Munoz, Issac",MUS 15,S118,6,1.0,1.0,1.7,6,6,A ,4.0,B+ ,3.32
122,"Charney, Joshua Jamsheed",MUS 15,S118,14,1.0,1.0,2.96,14,14,A ,4.0,A- ,3.78
123,"Chodos, Asher Tobin",MUS 15,S118,8,0.5710000000000001,0.5710000000000001,4.5,5,5,B+ ,3.6,A- ,3.92
124,"Borgo, David Garcia",MUS 150,S118,17,0.941,0.941,6.74,16,16,B+ ,3.47,A- ,3.85
125,"Winning, Richard Jason",PHIL 10,S118,8,1.0,0.75,5.25,8,6,B+ ,3.57,C+ ,2.48
126,"Tracz, Robert Brian",PHIL 15,S118,6,0.833,1.0,4.17,5,6,B ,3.0,B ,3.0
127,"Vargas, Manuel Rogelio",PHIL 155,S118,6,1.0,1.0,5.5,6,6,B ,3.0,B- ,2.83
128,"Knutzen, Jonathan",PHIL 163,S118,8,1.0,1.0,4.75,8,8,B ,3.14,B ,3.08
129,"Lamey, Andy M.",PHIL 164GS,S118,22,0.955,1.0,6.32,21,22,B+ ,3.53,B+ ,3.36
130,"Rickless, Samuel Charles",PHIL 165,S118,14,1.0,1.0,6.93,14,14,B ,3.11,B- ,2.95
131,"Stringer, Ryan Matthew",PHIL 27,S118,68,0.774,1.0,7.38,53,68,B ,3.24,B ,3.3
132,"Lamey, Andy M.",PHIL 28GS,S118,23,1.0,1.0,6.93,23,23,B+ ,3.64,B+ ,3.6
133,"Lubin, Dan",PHYS 1A,S118,14,0.846,0.667,6.81,12,9,B+ ,3.38,A- ,3.75
134,"Yang, Yi",PHYS 1AL,S118,10,0.5,0.667,5.39,5,7,B+ ,3.38,B+ ,3.41
135,"Ben-Zion, Daniel",PHYS 1B,S118,13,0.818,0.8,10.0,11,10,B ,3.08,B- ,2.73
136,"Yang, Yi",PHYS 1BL,S118,6,0.8,0.8,7.3,5,5,B+ ,3.4,B ,3.28
137,"Sheldon, Forrest Crawford",PHYS 1C,S118,47,0.8909999999999999,0.978,7.9,42,46,B+ ,3.49,B ,3.03
138,"Yang, Yi",PHYS 1CL,S118,25,0.727,0.7,5.77,18,18,B+ ,3.43,B+ ,3.36
139,"Meill, Alexander Warren",PHYS 2A,S118,37,1.0,1.0,7.83,37,37,B ,3.29,B ,3.02
140,"Rozenberg, Marcelo Javier",PHYS 2B,S118,21,0.667,0.5710000000000001,7.17,14,12,B ,3.29,C+ ,2.62
141,"Fang, Zheng",PHYS 2BL,S118,10,1.0,0.8,15.3,10,8,B- ,2.9,B+ ,3.33
142,"Chakraborty, Subrata",PHYS 2C,S118,20,0.8240000000000001,0.75,7.32,16,15,B ,3.06,B- ,2.93
143,"Liu, Huchen",POLI 10,S118,6,0.8,1.0,4.1,5,6,B ,3.2,B- ,2.96
144,"Roth, Skyler Elijah Maclean",POLI 100A,S118,10,1.0,1.0,5.9,10,10,A- ,3.78,B+ ,3.53
145,"Smith, Glenn Chatmas",POLI 104A,S118,7,1.0,1.0,6.17,7,7,A- ,3.8,B+ ,3.43
146,"Smith, Glenn Chatmas",POLI 104I,S118,4,1.0,1.0,5.0,4,4,B+ ,3.5,B ,3.11
147,"Magagna, Victor Valentine",POLI 113A,S118,72,0.983,1.0,4.63,71,72,A- ,3.85,A- ,3.86
148,"Roeder, Philip G",POLI 12,S118,5,1.0,1.0,6.9,5,5,B+ ,3.5,B- ,2.99
149,"Zhang, Jiakun Jack",POLI 130B,S118,24,1.0,1.0,7.75,24,24,B+ ,3.57,B+ ,3.68
150,"McClean, Charles Thurman",POLI 133A,S118,14,1.0,1.0,4.64,14,14,B+ ,3.58,B+ ,3.62
151,"Fisk, David Lee",POLI 145C,S118,8,0.7140000000000001,0.8,6.75,6,6,B+ ,3.38,B ,3.05
152,"Galderisi, Peter",POLI 30,S118,7,0.7140000000000001,0.857,7.64,5,6,B ,3.0,B ,3.11
153,"Sousa, Margarette Pamela-Burd",PSYC 1,S118,31,0.935,0.968,5.83,29,30,B+ ,3.64,B- ,2.84
154,"Heyman, Gail D.",PSYC 101,S118,25,0.958,0.958,8.5,24,24,B+ ,3.57,B+ ,3.34
155,"Aramovich, Nicholas P",PSYC 104,S118,35,0.971,0.971,4.96,34,34,B+ ,3.4,B ,3.01
156,"Gorman, Michael R.",PSYC 106,S118,11,0.9,0.9,6.7,10,10,B+ ,3.3,B- ,2.96
157,"Winkielman, Piotr",PSYC 114,S118,10,1.0,1.0,4.5,10,10,B+ ,3.4,A- ,3.81
158,"Moranton, Nirelia Melbina-",PSYC 122,S118,21,0.905,0.8,5.26,19,17,B+ ,3.62,B+ ,3.3
159,"Lacefield, Katharine I",PSYC 124,S118,30,1.0,1.0,4.37,30,30,A- ,3.79,B+ ,3.69
160,"Wixted, John T",PSYC 144,S118,20,0.9,1.0,5.3,18,20,B ,3.05,B- ,2.92
161,"Ramachandran, Vilayanur S",PSYC 169,S118,3,1.0,1.0,4.5,3,3,B+ ,3.67,C+ ,2.68
162,"Gorman, Michael R.",PSYC 172,S118,8,0.625,0.75,8.0,5,6,B- ,2.75,B ,3.03
163,"George, Olivier",PSYC 179,S118,46,0.826,0.935,5.07,38,43,B ,3.16,B ,3.21
164,"Hanes, Esther",PSYC 180,S118,25,1.0,1.0,4.15,25,25,A- ,3.74,B+ ,3.62
165,"Anagnostaras, Stephan",PSYC 181GS,S118,26,1.0,1.0,4.19,26,26,B+ ,3.62,B+ ,3.57
166,"Fletcher, Laura Michelle",PSYC 182,S118,30,0.9670000000000001,1.0,4.3,29,30,A- ,3.79,B+ ,3.61
167,"Anagnostaras, Stephan",PSYC 193GS,S118,26,1.0,1.0,3.35,26,26,B+ ,3.65,A ,4.0
168,"Kennelly, Arthur Edwin",PSYC 4,S118,14,1.0,1.0,6.21,14,14,B+ ,3.38,B+ ,3.48
169,"Willis, Jarryd Thomas",PSYC 6,S118,20,0.895,0.9440000000000001,4.71,18,19,B+ ,3.41,B ,3.26
170,"Lowe, Angela Beth",PSYC 60,S118,43,0.907,0.9520000000000001,7.21,39,41,B ,3.29,B- ,2.85
171,"Oberrecht, Stephen Patrick",SE 130A,S118,4,1.0,1.0,7.0,4,4,B ,3.25,B- ,2.91
172,"Carter, Harrison Blaine",SOCI 100,S118,15,0.867,1.0,9.83,13,15,C+ ,2.69,B ,3.22
173,"Payne, Christine Anna",SOCI 135,S118,7,1.0,1.0,5.07,7,7,A- ,3.71,A- ,3.76
174,"Ribas Norris, Janet Vanesa",SOCI 153,S118,6,0.667,0.667,8.17,4,4,B+ ,3.4,C+ ,2.63
175,"Ng, Kwai",SOCI 160E,S118,7,1.0,1.0,3.07,7,7,B ,3.14,B+ ,3.4
176,"Stokes, Cynthia Sue",TDAC 1,S118,19,1.0,1.0,3.34,19,19,A- ,3.94,A ,4.0
177,"Salovey, Todd",TDGE 1,S118,12,1.0,0.909,3.95,12,11,A ,4.0,B+ ,3.64
178,"Havis, Allan",TDGE 10,S118,11,0.909,1.0,1.95,10,11,B+ ,3.3,B ,3.18
179,"Havis, Allan",TDGE 11,S118,17,1.0,1.0,1.75,17,17,B+ ,3.64,B+ ,3.68
180,"White, Bryan Curtiss",TDGE 11,S118,16,1.0,1.0,4.38,16,16,A- ,3.85,B+ ,3.51
181,"Fulton, Julia",TDGE 124,S118,32,1.0,1.0,2.5,32,32,A- ,3.89,B+ ,3.48
182,"Reimer, Jonathan Charles",TDGE 5,S118,19,1.0,1.0,3.94,19,19,A- ,3.93,A- ,3.92
183,"Weinberg, Sadie",TDMV 1,S118,5,1.0,1.0,1.7,5,5,A ,4.0,A- ,3.98
184,"Arcidiacono, Kristin",TDMV 1,S118,10,0.9,0.9,3.1,9,9,A- ,3.9,A ,4.0
185,"Arcidiacono, Kristin",TDMV 11,S118,15,0.9229999999999999,1.0,1.21,14,15,A ,4.0,A- ,3.88
186,"Caligagan, Tony",TDMV 142,S118,10,1.0,1.0,5.61,10,10,A- ,3.89,A- ,3.96
187,"Caligagan, Maria T.",TDMV 142,S118,9,1.0,1.0,5.0,9,9,A- ,3.88,A- ,3.98
188,"Sammartano, Tonnie",TDMV 2,S118,5,1.0,1.0,1.5,5,5,A ,4.0,A- ,3.92
189,"Rincon, Alicia",TDMV 3,S118,11,1.0,1.0,1.77,11,11,A ,4.0,A- ,3.91
190,"Rincon, Alicia",TDMV 3,S118,6,1.0,1.0,2.0,6,6,A ,4.0,A- ,3.91
191,"Li, Huai",VIS 105D,S118,6,0.833,1.0,2.83,5,6,A ,4.0,A- ,3.93
192,"Paden, Jonathon Dean",VIS 143,S118,5,1.0,0.75,13.0,5,4,A- ,3.75,B+ ,3.63
193,"Anderson, Shane Nicholas",VIS 165,S118,5,1.0,1.0,9.7,5,5,A- ,3.75,B+ ,3.35
194,"Bateman, Vanessa Mae",VIS 22,S118,22,1.0,1.0,4.41,22,22,B+ ,3.65,B+ ,3.44
195,"Anderson, Shane Nicholas",VIS 60,S118,12,1.0,1.0,5.0,12,12,B+ ,3.56,B+ ,3.44
196,"Levy, Thomas E",ANAR 143,SP18,15,0.733,0.867,4.9,11,13,B+ ,3.4,B+ ,3.59
197,"Goldstein, Paul S",ANAR 156,SP18,14,0.5710000000000001,0.7140000000000001,3.07,8,10,B+ ,3.33,B ,3.16
198,"Gagneux, Pascal",ANBI 139,SP18,20,1.0,1.0,3.28,20,20,A- ,3.83,B- ,2.83
199,"Lew, Caroline Horton",ANBI 140,SP18,14,0.857,0.929,4.19,12,13,B+ ,3.62,B+ ,3.51
200,"Minsky-Rowland, Jocelyn D",ANBI 143,SP18,11,1.0,1.0,7.05,11,11,B+ ,3.5,B- ,2.95
201,"Saravia, Paula F",ANSC 106,SP18,39,0.9740000000000001,0.9490000000000001,4.29,38,37,A- ,3.78,B+ ,3.62
202,"Haviland, John B.",ANSC 122,SP18,16,0.467,0.5329999999999999,5.83,7,9,B- ,2.92,B ,3.0
203,"Rothschild, Amy C",ANSC 140,SP18,9,0.889,0.778,3.17,8,7,A ,4.0,A- ,3.79
204,"Garth, Hanna Fitzmaurice",ANSC 185,SP18,24,1.0,1.0,5.42,24,24,A- ,3.74,B+ ,3.51
205,"Hankins, Joseph D.",ANSC 186,SP18,15,1.0,1.0,5.12,15,15,A ,4.0,A- ,3.72
206,"Brenner, Suzanne A",ANTH 103,SP18,55,0.815,0.833,4.46,45,46,B+ ,3.62,B+ ,3.63
207,"Bennallack, Kathleen Celia",ANTH 21,SP18,61,0.81,0.7190000000000001,2.64,49,44,A- ,3.8,B+ ,3.6
208,"Stewart, Alexander B",ANTH 23,SP18,133,0.867,0.938,3.02,115,125,B+ ,3.63,B+ ,3.46
209,"Levy, Thomas E",ANTH 3,SP18,25,0.909,0.909,2.75,23,23,B+ ,3.65,A- ,3.72
210,"Non, Amy L",ANTH 43,SP18,34,0.848,0.9390000000000001,3.5,29,32,B+ ,3.57,B ,3.19
211,"Ajo, Frances Margaret",AWP 2B,SP18,30,0.9,0.9309999999999999,7.83,27,28,B ,3.19,C+ ,2.65
212,"Babcock, Joseph Diliberto",AWP 2B,SP18,29,0.7929999999999999,0.966,5.33,23,28,B+ ,3.53,B- ,2.85
213,"Fitzgerald, Rachelle Aloys",AWP 2B,SP18,32,0.875,1.0,8.44,28,32,B+ ,3.43,C+ ,2.56
214,"Haugh, Megan Nicole",AWP 2B,SP18,26,0.846,1.0,9.42,22,26,B+ ,3.33,C+ ,2.67
215,"Krizovensky, Jaclyn A",AWP 2B,SP18,28,0.741,0.9259999999999999,8.07,21,26,C+ ,2.65,C+ ,2.38
216,"McCarthy, Jenna L",AWP 2B,SP18,25,0.92,1.0,8.1,23,25,B ,3.2,C+ ,2.64
217,"Miller, Alyssa R",AWP 2B,SP18,25,0.6,0.92,8.02,15,23,B ,3.13,C+ ,2.59
218,"Picciotto, Madeleine",AWP 2B,SP18,32,0.75,1.0,7.13,24,32,B+ ,3.46,B ,3.01
219,"Steinberg, Stacy A",AWP 2B,SP18,29,0.897,1.0,5.53,26,29,B+ ,3.5,B- ,2.9
220,"Tessier, Jillian Marie",AWP 2B,SP18,31,0.935,1.0,7.47,29,31,B+ ,3.42,B ,3.09
221,"Alexandrov, Ludmil B",BENG 100,SP18,74,0.764,0.9009999999999999,7.2,57,67,B ,3.18,B- ,2.91
222,"Huang, Xiaohua",BENG 102,SP18,20,0.632,0.579,5.03,13,12,B+ ,3.53,A- ,3.72
223,"Fraley, Stephanie I.",BENG 103B,SP18,110,0.873,0.927,8.74,96,102,B+ ,3.32,B- ,3.0
224,"Mc Culloch, Andrew Douglas",BENG 112B,SP18,18,0.556,0.556,4.94,10,10,B+ ,3.44,A- ,3.82
225,"Hasty, Jeff M",BENG 125,SP18,41,0.8109999999999999,0.722,6.66,33,30,B+ ,3.32,B+ ,3.51
226,"Wheeler, Bruce Christopher",BENG 125,SP18,41,0.8109999999999999,0.757,6.66,33,31,B+ ,3.32,B+ ,3.51
